Trace
Swept SA
A.08.55,N9000A
500860000,-87.974686142902
500870000,-88.0528183177364
500880000,-88.3067386815636
500890000,-87.7825638966346
500900000,-88.3515308734018
500910000,-88.3100407773589
500920000,-88.5527687376248
500930000,-88.4046243868524
500940000,-88.9031886053324
500950000,-88.2893119590604
500960000,-88.4192623594301
500970000,-88.3578198993467
500980000,-87.9192108511231
500990000,-88.3374930282544
501000000,-88.5218963988558
501010000,-88.6943918537692
501020000,-89.0527990378783
501030000,-88.6376188736477
501040000,-88.3176320111661
501050000,-88.9531946462831
501060000,-88.557321524449
501070000,-88.3896277188289
501080000,-88.1192578742658
501090000,-87.8932079580949
501100000,-88.2532375564063
501110000,-89.0793350739413
501120000,-88.4254059002092
501130000,-88.7719841866842
501140000,-88.4430260282035
501150000,-88.3350780892786
501160000,-88.3797242874217
501170000,-88.5202708131199
501180000,-88.7744538608978
501190000,-88.5686249061558
501200000,-88.50760861391
501210000,-88.6610263247506
501220000,-88.4234357861854
501230000,-88.889217462596
501240000,-88.4865725739954
501250000,-88.6647602564238
501260000,-88.9570171870035
501270000,-88.4517736977957
501280000,-88.7254407320186
501290000,-88.6897903883613
501300000,-88.9760315116459
501310000,-88.7589017259154
501320000,-88.741807127194
501330000,-88.6916352158753
501340000,-88.5566713254914
501350000,-88.4307416329985
501360000,-88.6280271992039
501370000,-88.3832917246299
501380000,-88.6159237434299
501390000,-89.0799414944183
501400000,-88.6255665947923
501410000,-88.2357587368236
501420000,-88.4438595912234
501430000,-89.4193777376694
501440000,-89.2940945742342
501450000,-89.4712768407852
501460000,-88.8502442436694
501470000,-88.6811247885086
501480000,-89.0062386355622
501490000,-88.6504686847719
501500000,-88.6095216634166
501510000,-88.4142377482359
501520000,-88.5949428509629
501530000,-88.6858276073304
501540000,-88.4485740569746
501550000,-88.6325503069689
501560000,-88.7581879553955
501570000,-88.693625822153
501580000,-88.6874701646053
501590000,-88.4008127701789
501600000,-88.4201683301176
501610000,-88.4056314973045
501620000,-88.3202457039533
501630000,-88.9524527143615
501640000,-88.5074003125952
501650000,-88.7934171091206
501660000,-88.7955452270534
501670000,-88.4383421441445
501680000,-88.3188420481603
501690000,-88.4283442854667
501700000,-88.443080835364
501710000,-88.4802710515764
501720000,-88.6130533264134
501730000,-88.8360404150443
501740000,-88.6089518675076
501750000,-89.2902817566053
501760000,-88.6818806977629
501770000,-88.8023805104239
501780000,-88.788342472717
501790000,-88.5605866593889
501800000,-88.2134606287849
501810000,-88.6603533610123
501820000,-89.1401691931115
501830000,-88.7151546153804
501840000,-89.3103133043489
501850000,-88.4993837480036
501860000,-88.8426597004895
501870000,-88.8107228292679
501880000,-88.4324165255272
501890000,-89.20560714727
501900000,-89.4402325321597
501910000,-88.8262664739833
501920000,-88.6636776248974
501930000,-88.7296726182149
