Trace
Swept SA
A.08.55,N9000A
500164000,-98.771361663743
500168000,-98.9534490450708
500172000,-99.3432025022754
500176000,-99.0021670866334
500180000,-98.7703833121539
500184000,-98.9025299822363
500188000,-99.4448644832794
500192000,-98.9554748856366
500196000,-99.2488458646955
500200000,-98.8616504506257
500204000,-99.3341282148935
500208000,-99.1672692139411
500212000,-99.2670155748967
500216000,-98.6904670575848
500220000,-98.8935844033266
500224000,-99.1177572055012
500228000,-99.1836773674344
500232000,-99.018057091058
500236000,-98.8843716534288
500240000,-99.3905625543096
500244000,-99.2500994671876
500248000,-99.0956474159845
500252000,-99.217167084252
500256000,-98.8466724057928
500260000,-99.1033394889278
500264000,-99.2010435004168
500268000,-99.1675192100084
500272000,-99.2500021067959
500276000,-98.8600165751704
500280000,-99.2495515884781
500284000,-99.2416755050223
500288000,-99.1779249492165
500292000,-99.4679893632263
500296000,-99.0317336355332
500300000,-99.3390957030237
500304000,-99.2042826337356
500308000,-99.2423560588969
500312000,-99.450168673408
500316000,-99.4791432122033
500320000,-98.898195753261
500324000,-99.4832080997268
500328000,-99.0572565775449
500332000,-99.2376585474111
500336000,-99.3868032862183
500340000,-99.3014351211
500344000,-98.7323619362845
500348000,-99.670042092432
500352000,-99.0983695375082
500356000,-99.5762663390644
500360000,-99.3456848154445
500364000,-99.0986224136462
500368000,-98.816766922881
500372000,-98.9051451141057
500376000,-99.1651318674413
500380000,-99.5561423260693
500384000,-99.3251756050315
500388000,-98.7425826845678
500392000,-99.3790398165083
500396000,-99.3900413789159
500400000,-99.5430555794522
500404000,-99.401730916284
500408000,-99.1819246761118
500412000,-99.0588118452664
500416000,-99.2320000181269
500420000,-99.0292606181356
500424000,-99.3524536225887
500428000,-99.3853619633806
500432000,-99.117903273817
500436000,-99.0655644004551
500440000,-98.9685089587708
500444000,-99.4655870555184
500448000,-98.9748438095876
500452000,-99.1059433828471
500456000,-99.2176152058246
500460000,-98.8399698842244
500464000,-98.9535298071739
500468000,-99.1553548025684
500472000,-99.1899007847485
500476000,-99.3253845744933
500480000,-99.1472839867543
500484000,-99.151853448511
500488000,-99.530689855399
500492000,-99.2530487693526
500496000,-99.3868816736614
500500000,-99.2705520297164
500504000,-99.7934127553274
500508000,-99.4306619491934
500512000,-99.3718485890167
500516000,-99.1960724650183
500520000,-99.5694417523242
500524000,-99.448527962496
500528000,-99.3491359732799
500532000,-99.1573143253561
500536000,-98.669144094723
500540000,-99.1384086526345
500544000,-99.6466909832941
500548000,-99.0244827914325
500552000,-99.6540688843829
500556000,-98.8586500645733
500560000,-99.1340679516567
500564000,-99.2379876160533
500568000,-98.9454689309245
500572000,-99.3808067154127
500576000,-98.9161775869558
500580000,-99.0968139542361
500584000,-99.2704219080755
500588000,-99.6843466258067
500592000,-99.6354776710827
500596000,-99.191333991671
500600000,-98.9593728670365
500604000,-99.1589214703073
500608000,-99.4360721983396
500612000,-98.9795024754953
500616000,-99.3676035831734
500620000,-98.8207551475745
500624000,-99.248195315368
500628000,-99.533382926572
500632000,-99.6073287482026
500636000,-99.3097637686572
500640000,-98.9726676092164
500644000,-99.0438498144804
500648000,-99.0309461947241
500652000,-98.8246469419772
500656000,-98.8183465180458
500660000,-99.728713709389
500664000,-99.3001681582918
500668000,-99.3785936591198
500672000,-98.9198322227049
500676000,-99.3418283873677
500680000,-99.7882837193545
500684000,-99.8764841386936
500688000,-99.2956949500558
500692000,-99.4577437805583
500696000,-99.4771506562793
500700000,-98.9444528367039
500704000,-99.3346436915549
500708000,-98.8730355078607
500712000,-99.321799238535
500716000,-98.8203285390574
500720000,-99.1387763757635
500724000,-98.938634343985
500728000,-99.3972785311499
500732000,-99.2335393527494
500736000,-99.2253886007429
500740000,-99.4161348011422
500744000,-99.323347628278
500748000,-99.1979153724279
500752000,-99.3829834721706
500756000,-99.2159576292033
500760000,-99.1577771313266
500764000,-99.5656640824452
500768000,-99.2026241265092
500772000,-99.5449304395984
500776000,-99.3244905766934
500780000,-99.29069468657
500784000,-99.3206837954354
500788000,-99.3892841436453
500792000,-98.9427209880998
500796000,-98.9542785721974
500800000,-99.4179673458088
500804000,-99.0702848937293
500808000,-99.2061175783457
500812000,-99.6568163672181
500816000,-99.3447744236523
500820000,-99.3072654208186
500824000,-99.3171737544828
500828000,-99.4813956839888
500832000,-99.5302810131596
500836000,-99.571004093566
500840000,-99.144185771504
500844000,-99.316548433948
500848000,-99.4464567861502
500852000,-98.9288615892551
500856000,-99.2701568690248
500860000,-99.6354735929128
500864000,-99.3015803344683
500868000,-99.0737890972682
500872000,-99.1771402592147
500876000,-99.8365559624503
500880000,-99.2708481725147
500884000,-99.1532852010413
500888000,-99.2519102122493
500892000,-99.0808898504358
500896000,-99.5120393496364
500900000,-99.3045770145339
500904000,-99.2192810014715
500908000,-99.4106879292465
500912000,-99.6571843707564
500916000,-98.99343563838
500920000,-99.1409006153389
500924000,-99.2059786406722
500928000,-99.4140086384982
500932000,-99.1417225443021
500936000,-99.6021270545381
500940000,-99.2720696525498
500944000,-99.649265134918
500948000,-99.0286363827644
500952000,-99.3399519874746
500956000,-99.2091168249874
500960000,-99.7459895953664
500964000,-99.2723807853902
500968000,-99.0280879169153
500972000,-99.1143065227656
500976000,-99.0955195325729
500980000,-99.49837305254
500984000,-99.2508428293392
500988000,-98.8746760961436
500992000,-99.8051594407544
500996000,-99.5909582916195
501000000,-99.0936673848831
501004000,-99.2011094153129
501008000,-99.0236672949934
501012000,-99.1614355382955
501016000,-99.8627858861149
501020000,-99.2095056458068
501024000,-99.3513252161755
501028000,-99.8430528430336
501032000,-99.1537128951141
501036000,-99.3648636048711
501040000,-99.1742437728739
501044000,-99.2770416496786
501048000,-99.2927131580159
501052000,-99.3771486622447
501056000,-99.5038182581619
501060000,-99.1585855056212
501064000,-99.3323287428727
501068000,-99.3318162056236
501072000,-99.3120062013912
501076000,-99.2226969011464
501080000,-99.2199375816692
501084000,-98.791852137446
501088000,-98.7934290053845
501092000,-99.1580332253965
501096000,-99.5443414941245
501100000,-99.30338611203
501104000,-99.1202122569905
501108000,-99.625432938123
501112000,-99.3209994094214
501116000,-99.1363168019925
501120000,-99.7818645422582
501124000,-99.2473430050056
501128000,-99.8503119905635
501132000,-99.200127523323
501136000,-99.4391517430429
501140000,-99.416566476222
501144000,-99.0178427559378
501148000,-98.9657823655666
501152000,-99.438426613056
501156000,-99.1332516087126
501160000,-99.0637288796612
501164000,-99.4067234003569
501168000,-99.7027052476018
501172000,-99.3866746180909
501176000,-98.8609768458971
501180000,-98.8876625767102
501184000,-99.2709165404466
501188000,-99.3876896333091
501192000,-99.0522490472478
501196000,-99.3473309526813
501200000,-99.627849134704
501204000,-99.1927959314752
501208000,-99.4811576414747
501212000,-99.531870529358
501216000,-99.0631662019835
501220000,-99.299202068751
501224000,-99.3031678706995
501228000,-99.5552748947718
501232000,-99.1029243070282
501236000,-99.3366443622738
501240000,-99.1232232699363
501244000,-98.9626425265303
501248000,-99.4745808426031
501252000,-99.1186700283714
501256000,-99.0545706921948
501260000,-99.3042962466958
501264000,-99.2663110717899
501268000,-99.226638997434
501272000,-100.003135499013
501276000,-99.5717804813305
501280000,-99.3581084649266
501284000,-99.4197886951617
501288000,-99.3725217309069
501292000,-99.4384619600281
501296000,-99.2667417825125
501300000,-99.27172871182
501304000,-99.2971041827246
501308000,-98.9580455053659
501312000,-99.2327697018361
501316000,-99.1650814539268
501320000,-99.4466735563811
501324000,-99.3008304022453
501328000,-99.2029175818602
501332000,-99.1363390306299
501336000,-99.1565734713138
501340000,-99.3638759713231
501344000,-98.8623958079615
501348000,-98.7430849745
501352000,-99.0862418941687
501356000,-98.8166708817183
501360000,-99.1367700552916
501364000,-99.0448140829519
501368000,-99.2158014001882
501372000,-99.2573454559332
501376000,-99.3916429692212
501380000,-99.4512024793828
501384000,-99.0989770546624
501388000,-99.0316012942571
501392000,-98.8318153512792
501396000,-99.5057394081085
501400000,-99.1354001125515
501404000,-99.3920802697913
501408000,-99.1673435833151
501412000,-99.4407114353993
501416000,-99.2528549359008
501420000,-99.0957148172873
501424000,-99.1761482655657
501428000,-99.2494192725093
501432000,-98.8903964532179
501436000,-99.4098922410483
501440000,-99.3932636871379
